batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
5,3,1,1,5.8201,11.8712,-103.96900396900396,859.0917681826772,421.18741155064356
5,4,1,1,5.3749,11.2123,-108.60481125230237,930.2498651137695,445.9388350293873
5,5,1,1,5.6533,10.3699,-83.43091645587533,884.4391771177897,482.16472675724935
5,6,1,1,5.237,11.1797,-113.47527210234867,954.7450830628221,447.2391924649141
5,7,1,1,5.4344,10.2068,-87.81834241130575,920.0647725599882,489.8694987655289
5,8,1,1,5.2937,10.3099,-94.75791979145022,944.5189564954568,484.9707562633973
5,9,1,1,5.0634,10.4071,-105.53580598017143,987.4787692064621,480.44123723227415
5,10,1,1,5.1528,10.2383,-98.69391398851111,970.3462195311287,488.36232577674025
5,11,1,1,5.1861,10.1361,-95.44744605773127,964.11561674476,493.2863724706741
5,12,1,1,5.1761,10.2554,-98.12986611541508,965.9782461698962,487.54802348031285
5,13,1,1,5.2944,10.302,-94.58295557570261,944.3940767603505,485.34265191225
5,14,1,1,5.2062,10.2806,-97.46840305789252,960.3933771272713,486.35293659903124
5,15,1,1,5.2967,10.1077,-90.8301395208337,943.983990031529,494.67237848373026
5,16,1,1,5.2673,10.1456,-92.61481214284359,949.252937937843,492.82447563475796
5,17,1,1,5.1687,10.3288,-99.8336138680906,967.3612320312651,484.0833397877779
5,18,1,1,5.6687,10.546,-86.03912713673327,882.0364457459382,474.1134079271762
5,19,1,1,5.2405,10.1046,-92.81747924816334,954.107432496899,494.8241395008214
5,20,1,1,5.1743,10.2035,-97.19575594766442,966.314284057747,490.0279315921007
5,21,1,1,5.4883,10.4247,-89.94406282455405,911.0289160577958,479.6301092597389
5,22,1,1,5.0953,10.278,-101.71530626263421,981.2964889211627,486.47596808717645
5,23,1,1,5.2321,10.2089,-95.12050610653466,955.6392270789931,489.76873120512494
5,24,1,1,5.1638,10.0832,-95.26705139625855,968.2791742515201,495.87432561091714
5,25,1,1,5.1277,10.1588,-98.11611443727206,975.0960469606257,492.1841162342009
5,26,1,1,5.1572,10.072,-95.29977507174436,969.518343287055,496.4257347100874
5,27,1,1,5.103,10.0948,-97.82088967274152,979.8157946306095,495.30451321472447
5,28,1,1,5.1456,10.1509,-97.2733986318408,971.7039800995025,492.5671615324749
5,29,1,1,5.2185,10.2529,-96.47216633132128,958.1297307655457,487.66690399789326
5,30,1,1,5.1279,10.2151,-99.20630277501509,975.0580159519491,489.47146870808905
10,1,1,1,10.3825,15.6575,-50.806645798218156,963.1591620515289,638.6715631486508
10,2,1,1,10.4089,15.5064,-48.97251390636859,960.7163100807963,644.8950110921942
10,3,1,1,10.2947,15.5927,-51.463374357679186,971.3736194352433,641.32574858748
10,4,1,1,10.4293,15.4767,-48.396344912889646,958.8371223380285,646.1325734814269
10,5,1,1,10.2248,15.5038,-51.62937172365229,978.0142398873327,645.0031605154866
10,6,1,1,10.2373,15.5397,-51.794906860207284,976.8200599767517,643.513066532816
10,7,1,1,10.1663,15.6153,-53.598654377698864,983.6420329913539,640.3975588045058
10,8,1,1,10.6116,15.698,-47.93245127973163,942.3649591013609,637.0238246910434
10,9,1,1,10.1784,15.7585,-54.82295842175588,982.4726872592942,634.5781641653712
10,10,1,1,10.2964,15.5731,-51.24800901285886,971.2132395788818,642.1329086694365
10,11,1,1,10.3131,15.264,-48.00593420019198,969.6405542465408,655.1362683438156
10,12,1,1,10.3709,15.4599,-49.06999392531023,964.2364693517437,646.8347143254484
10,13,1,1,10.1774,15.3491,-50.815532454261394,982.56922200169,651.5039969770215
10,14,1,1,10.1982,15.5931,-52.900511855033244,980.5651977800005,641.3092970608794
10,15,1,1,10.3878,15.5013,-49.22601513313695,962.6677448545408,645.1071845587144
10,16,1,1,10.2596,15.5547,-51.61117392490935,974.6968692736558,642.8925019447498
10,17,1,1,10.3378,15.3929,-48.89918551335874,967.3238019694713,649.6501633870162
