r_B,batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
1,50,12,1,1,53.4486,15.2922,71.38896060888405,935.4781977451233,3269.640731876382
1,50,13,1,1,52.7513,14.7896,71.96353454796375,947.8439393910671,3380.754043381836
1,50,14,1,1,52.9971,14.9368,71.81581633712034,943.4478490332489,3347.437202078089
1,50,15,1,1,52.2009,14.7878,71.67136965071484,957.83789168386,3381.165555390254
1,50,16,1,1,53.3329,14.7089,72.42058841728088,937.5076172493901,3399.3024631345647
1,50,17,1,1,52.9387,14.733,72.16969816032504,944.4886255234828,3393.7419398628927
1,50,18,1,1,52.8679,14.9911,71.64423024179133,945.7534723338738,3335.3122852892716
1,50,19,1,1,53.1973,15.0797,71.65326059781229,939.8973256161497,3315.7158298905147
1,50,20,1,1,52.7072,14.9051,71.72094135146622,948.6369983607552,3354.556494085917
1,50,21,1,1,52.555,15.0083,71.44267909808772,951.3842641042718,3331.489908917066
1,50,22,1,1,52.0084,15.2278,70.72049899631598,961.3831611816552,3283.468393333246
1,50,23,1,1,52.2407,14.7809,71.70616013950809,957.1081551357468,3382.7439465797074
1,50,24,1,1,52.6641,14.7861,71.92375830974042,949.4133574864092,3381.554297617357
1,50,25,1,1,52.4731,14.703,71.97992876349977,952.8691844011503,3400.6665306400055
1,50,26,1,1,52.8871,15.1399,71.37317039504907,945.4101283677873,3302.531720817178
1,50,27,1,1,58.0711,15.7175,72.93404120121713,861.0134817490972,3181.167488468268
1,50,28,1,1,52.5984,15.0401,71.40578420636369,950.5992577720996,3324.4459810772532
1,50,29,1,1,52.2068,14.9261,71.40966310902029,957.7296444141375,3349.8368629447746
1,50,30,1,1,52.5115,14.9577,71.5153823448197,952.1723812879085,3342.7599162972915
1,100,1,1,1,105.2133,28.8067,72.62066677881978,950.4501807281018,3471.414636178389
1,100,2,1,1,105.4863,28.8359,72.6638435512479,947.9904025451646,3467.899389302918
1,100,3,1,1,104.8096,28.9774,72.35234177021952,954.1110737947669,3450.9652349762227
1,100,4,1,1,105.6388,28.5927,72.93352442473787,946.6218851406869,3497.3961885376334
1,100,5,1,1,116.0172,31.5079,72.84204411070083,861.9411604486231,3173.8072039075914
1,100,6,1,1,106.2627,28.9624,72.74452841872076,941.063985763584,3452.75253432036
1,100,7,1,1,107.7517,29.7573,72.38345195481834,928.059603699988,3360.5199396450616
1,100,8,1,1,106.3893,32.4258,69.52155902896251,939.944148518695,3083.9640039721453
1,100,9,1,1,106.0272,29.0839,72.56939728673396,943.1542094858679,3438.328422254237
1,100,10,1,1,112.1764,32.1723,71.31990329516725,891.4531042179996,3108.263941340843
1,100,11,1,1,106.9324,28.8916,72.98143500005612,935.1702570970072,3461.213639950712
1,100,12,1,1,105.6909,29.1373,72.43159060997684,946.1552508304877,3432.0269894602447
1,100,13,1,1,107.1542,28.8014,73.12153886641867,933.2345349039048,3472.053441846577
1,100,14,1,1,104.9542,29.5917,71.80513023776085,952.7965531631893,3379.3259596440894
1,100,15,1,1,117.8479,32.29,72.60027543978298,848.5513954851975,3096.934035305048
1,100,16,1,1,119.5029,32.6795,72.65380170690419,836.7997764070998,3060.0223381630685
1,100,17,1,1,106.8314,28.9741,72.87866675902404,936.0543810153194,3451.358282051902
1,100,18,1,1,115.7377,32.0208,72.33330194050858,864.022699604364,3122.970069454854
1,100,19,1,1,107.8716,29.6795,72.48627071444199,927.0280592852985,3369.3289981300222
1,100,20,1,1,106.2679,28.8644,72.83808186667845,941.0179367428923,3464.4752705755186
1,100,21,1,1,105.8598,31.5834,70.16487845244372,944.6456539687398,3166.2202296142914
1,100,22,1,1,105.9279,29.1524,72.47901638756173,944.0383506139555,3430.2493105198887
1,100,23,1,1,103.7169,28.9595,72.0783208908095,964.1630245408414,3453.0982924428945
1,100,24,1,1,104.7107,28.6749,72.6151195627572,955.0122384818361,3487.3704877785103
1,100,25,1,1,116.4485,30.69,73.64500186777846,858.7487172441037,3258.3903551645485
1,100,26,1,1,106.2368,29.1304,72.57974637790296,941.2934124521822,3432.8399198088596
1,100,27,1,1,131.7109,35.7049,72.89146152672254,759.238605157204,2800.736033429585
1,100,28,1,1,133.6389,35.466,73.4613200198445,748.285117581782,2819.6018722156427
1,100,29,1,1,112.504,37.604,66.57541065206571,888.8572850743084,2659.2915647271566
1,100,30,1,1,115.1345,29.4846,74.39116858977978,868.5493922325628,3391.6010391865584
1,200,1,1,1,220.1701,64.3565,70.76964583292646,908.3885595728032,3107.689200003108
1,200,2,1,1,212.1258,57.3752,72.95227643219259,942.836750645136,3485.8266289267835
